unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1534291200,2018-08-15,XRP/USD,0.2749,0.3023,0.2749,0.2823,2573798.712,726583.3763
1534204800,2018-08-14,XRP/USD,0.277,0.2899,0.25,0.2749,2492782.275,685265.8475
1534118400,2018-08-13,XRP/USD,0.3043,0.32,0.2739,0.2774,2236069.216,620285.6004
1534032000,2018-08-12,XRP/USD,0.3051,0.316,0.3008,0.3043,832366.8907,253289.2448
1533945600,2018-08-11,XRP/USD,0.3234,0.353,0.2916,0.3051,2107123.129,642883.2665
1533859200,2018-08-10,XRP/USD,0.348,0.3519,0.3159,0.3232,1387783.955,448531.7742
1533772800,2018-08-09,XRP/USD,0.3332,0.3645,0.3312,0.3502,1394001.482,488179.3189
1533686400,2018-08-08,XRP/USD,0.3807,0.3979,0.3213,0.334,2808261.859,937959.4611
1533600000,2018-08-07,XRP/USD,0.4162,0.4162,0.376,0.3801,926179.2892,352040.7478
1533513600,2018-08-06,XRP/USD,0.4369,0.4371,0.4053,0.4166,574347.3704,239273.1145
1533427200,2018-08-05,XRP/USD,0.4287,0.4373,0.4271,0.4343,298530.8649,129651.9546
1533340800,2018-08-04,XRP/USD,0.4386,0.4428,0.427,0.4292,417619.6762,179242.365
1533254400,2018-08-03,XRP/USD,0.4324,0.4453,0.426,0.4418,564581.8383,249432.2561
1533168000,2018-08-02,XRP/USD,0.4466,0.4499,0.4302,0.4308,467638.7778,201458.7855
1533081600,2018-08-01,XRP/USD,0.4355,0.4667,0.425,0.448,1379286.168,617920.2034
1532995200,2018-07-31,XRP/USD,0.4448,0.4448,0.4267,0.4356,827834.1599,360604.56
1532908800,2018-07-30,XRP/USD,0.4489,0.4506,0.4345,0.4446,448886.2182,199574.8126
1532822400,2018-07-29,XRP/USD,0.4475,0.4509,0.4462,0.4504,232342.1411,104646.9004
1532736000,2018-07-28,XRP/USD,0.4481,0.4516,0.444,0.4499,241861.9953,108813.7117
1532649600,2018-07-27,XRP/USD,0.4439,0.454,0.439,0.4477,492099.4025,220312.9025
1532563200,2018-07-26,XRP/USD,0.4563,0.4624,0.443,0.443,515268.4424,228263.92
1532476800,2018-07-25,XRP/USD,0.4544,0.4623,0.45,0.4562,553936.1927,252705.6911
1532390400,2018-07-24,XRP/USD,0.4441,0.4649,0.4363,0.4492,886063.1422,398019.5635
1532304000,2018-07-23,XRP/USD,0.447,0.4611,0.4403,0.4447,529082.2211,235282.8637
1532217600,2018-07-22,XRP/USD,0.4527,0.4638,0.4447,0.4488,446408.6211,200348.1891
1532131200,2018-07-21,XRP/USD,0.4409,0.4596,0.4351,0.4548,388523.4253,176700.4538
1532044800,2018-07-20,XRP/USD,0.4756,0.4756,0.4324,0.4447,790579.3041,351570.6166
1531958400,2018-07-19,XRP/USD,0.4848,0.4924,0.4724,0.4756,857744.0203,407943.0561
1531872000,2018-07-18,XRP/USD,0.5027,0.518,0.4711,0.484,1629673.838,788762.1377
1531785600,2018-07-17,XRP/USD,0.4799,0.52,0.4627,0.5014,1604550.638,804521.6899
1531699200,2018-07-16,XRP/USD,0.4464,0.48,0.4421,0.48,958518.181,460088.7269
1531612800,2018-07-15,XRP/USD,0.44,0.4483,0.4377,0.4473,418228.9978,187073.8307
1531526400,2018-07-14,XRP/USD,0.4399,0.444,0.4345,0.4386,326825.1181,143345.4968
1531440000,2018-07-13,XRP/USD,0.4387,0.446,0.4326,0.4384,523747.5308,229610.9175
1531353600,2018-07-12,XRP/USD,0.4485,0.4499,0.4297,0.4343,738576.18,320763.635
1531267200,2018-07-11,XRP/USD,0.4466,0.4542,0.443,0.4498,493341.4132,221904.9676
1531180800,2018-07-10,XRP/USD,0.4719,0.4719,0.4431,0.4451,743024.1535,330720.0507
1531094400,2018-07-09,XRP/USD,0.4765,0.4824,0.4702,0.4722,415731.7721,196308.5428
1531008000,2018-07-08,XRP/USD,0.48,0.4857,0.4705,0.4764,463814.3116,220961.138
1530921600,2018-07-07,XRP/USD,0.4779,0.484,0.4651,0.4801,439115.6793,210819.4376
1530835200,2018-07-06,XRP/USD,0.475,0.4813,0.4601,0.4747,755959.4738,358853.9622
1530748800,2018-07-05,XRP/USD,0.4893,0.5012,0.4704,0.4752,867267.6455,412125.5851
1530662400,2018-07-04,XRP/USD,0.4841,0.5038,0.4777,0.4892,935365.3976,457580.7525
